SKU;Name;Parent SKU;Min - Max;Type;Default price;Extra price;Accounting group;Button name;Cost price;Package content (stock management);Package unit (stock management);Weight;Tare (grams, selling by weight);Sharing status;Statistics group
88;Botanist;;;combo;7.0;;GIN;Botanist;1.5903;;;;;LOCAL;default/
89;Bulldog;;;combo;4.5;;GIN;Bulldog;1.1469;;;;;LOCAL;default/
90;Citadelle;;;combo;4.5;;GIN;Citadelle;1.3646;4.00000;VOLUME;;;LOCAL;default/
93;Grace;;;combo;4.5;;GIN;Grace;1.3800;;;;;LOCAL;default/
94;Hayman's Sloe;;;combo;8.5;;GIN;Haymans SLoe;1.3771;;;;;LOCAL;default/
95;Hendrick's;;;combo;7.0;;GIN;Hendrick´s;1.5697;;;;;LOCAL;default/
96;Illusionist;;;combo;9.5;;GIN;Illusionist;2.7000;;;;;LOCAL;default/
97;Illusionist alkoholfrei;;;combo;5.5;;GIN;illusionist alkoholfrei;1.4300;;;;;LOCAL;default/
98;Larios Rose;;;combo;4.0;;GIN;Larios Rose;0.8229;;;;;LOCAL;default/
99;Mampe Gin;;;combo;4.5;;GIN;Mampe;0.6503;;;;;LOCAL;default/
100;Mare;;;combo;8.0;;GIN;Mare;2.1400;;;;;LOCAL;default/
101;Martin Millers;;;combo;6.5;;GIN;Martins;1.4700;;;;;LOCAL;default/
102;Monkey 47;;;combo;9.5;;GIN;Monkey 47;2.6088;;;;;LOCAL;default/
103;Roku;;;combo;7.0;;GIN;Roku;1.3840;;;;;LOCAL;default/
104;Siegfried;;;combo;8.0;;GIN;Siegfried;2.0400;;;;;LOCAL;default/
105;Siegfried Alkoholfrei;;;combo;9.5;;GIN;Siegfried Alkoholfrei;1.4464;;;;;LOCAL;default/
106;Sipsmith;;;combo;7.0;;GIN;Sipsmith;1.5900;;;;;LOCAL;default/
107;Sul;;;combo;9.0;;GIN;Sul;2.4000;;;;;LOCAL;default/
108;Tanqueray;;;combo;4.0;;GIN;Tanqueray;0.9288;;;;;LOCAL;default/
109;Tanqueray 0,0;;;combo;4.0;;GIN;Tanqueray 0,0;0.9434;;;;;LOCAL;default/
110;Tanqueray No. Ten;;;combo;6.0;;GIN;Tanqueray No. Ten;1.4274;;;;;LOCAL;default/
111;Misc gin;;;combo;0.0;;GIN;Misc gin;;;;;;LOCAL;default/
112;Thomas Henry - Tonic Water 0,2l;;;item;3.0;;GIN;Thomas Henry - Tonic Water 0,2l;0.7500;0.20000;VOLUME;;;LOCAL;default/
114;Thomas Henry - Dry 0,2l;;;item;3.0;;GIN;Thomas Henry - Dry 0,2l;0.7500;0.20000;VOLUME;;;LOCAL;default/
115;Thomas Henry - Botanical 0,2l;;;item;3.0;;GIN;Thomas Henry - Botanical 0,2l;0.7500;0.20000;VOLUME;;;LOCAL;default/
117;Shirley Temple;;;item;6.0;;Soft Drinks;Shirley Temple;0.1759;;;;;LOCAL;default/
121;Coca-Cola 0,33l;;;item;3.0;;Soft Drinks;Coca-Cola 0,33l;0.7100;0.33000;VOLUME;;;LOCAL;default/
122;Coca-Cola Zero 0,33l;;;item;3.0;;Soft Drinks;Coca-Cola Zero 0,33l;0.7100;0.33000;VOLUME;;;LOCAL;default/
