SKU;Name;Parent SKU;Min - Max;Type;Default price;Extra price;Accounting group;Menu/Screen;Button name;Button color;Barcode;Cost price;Package content (stock management);Package unit (stock management);Weight;Tare (grams, selling by weight);Sharing status;Docket name;Course;Statistics group;Production instruction
77;Berliner Berg - lager- 0,33l;;;item;4.5;;Alkohol;Menu/Bottle Beers \\/ Cans,Order Anywhere/Bottle Beers \\/ Cans;Berliner Berg - Lager 0,33l;PURPLE;42329060;1.2400;0.33000;VOLUME;;;LOCAL;;;default/;
78;Gösser Alkoholfrei;;;item;4.5;;Alkohol;Menu/Bottle Beers \\/ Cans,Order Anywhere/Bottle Beers \\/ Cans;Gösser Alkoholfrei;GREEN;90288647;0.9000;0.33000;VOLUME;;;LOCAL;;;default/;
80;Weihenstephaner- Kristall - 0.5l;;;item;4.5;;Alkohol;Menu/Bottle Beers \\/ Cans,Order Anywhere/Bottle Beers \\/ Cans;Weihnstephaner - Kristall - 0.5l;WHITE;40173344;0.9300;0.50000;VOLUME;;;LOCAL;;;default/;
81;Leffe 0,33l;;;item;4.5;;Alkohol;Menu/Bottle Beers \\/ Cans,Order Anywhere/Bottle Beers \\/ Cans;Leffe 0,33l;YELLOW;5410228142218;1.0400;0.33000;VOLUME;;;LOCAL;;;default/;
83;Pilsner urquell 0,33l;;;item;3.0;;Alkohol;Menu/Bottle Beers \\/ Cans,Order Anywhere/Bottle Beers \\/ Cans;Pilsner urquell 0,33l;GREEN;8594404110127;0.7500;0.33000;VOLUME;;;LOCAL;;;default/;
112;Thomas Henry - Tonic Water 0,2l;;;item;3.0;;GIN;;Thomas Henry - Tonic Water 0,2l;BLUE;;0.7500;0.20000;VOLUME;;;LOCAL;;;default/;
114;Thomas Henry - Dry 0,2l;;;item;3.0;;GIN;;Thomas Henry - Dry 0,2l;BLUE;;0.7500;0.20000;VOLUME;;;LOCAL;;;default/;
115;Thomas Henry - Botanical 0,2l;;;item;3.0;;GIN;;Thomas Henry - Botanical 0,2l;BLUE;;0.7500;0.20000;VOLUME;;;LOCAL;;;default/;
117;Shirley Temple;;;item;6.0;;Soft Drinks;Menu/Soft Drinks,Order Anywhere/Soft Drinks;Shirley Temple;BLUE;;0.1759;;;;;LOCAL;;;default/;
121;Coca-Cola 0,33l;;;item;3.0;;Soft Drinks;Menu/Soft Drinks,Order Anywhere/Soft Drinks;Coca-Cola 0,33l;LIGHT_RED;87126853;0.7100;0.33000;VOLUME;;;LOCAL;;;default/;
122;Coca-Cola Zero 0,33l;;;item;3.0;;Soft Drinks;Menu/Soft Drinks,Order Anywhere/Soft Drinks;Coca-Cola Zero 0,33l;LIGHT_RED;90357879;0.7100;0.33000;VOLUME;;;LOCAL;;;default/;
